registros;natureza;municipio;cod_municipio;mes;ano;risp;rmbh
0;ESTUPRO CONSUMADO;BANDEIRA;310520;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;BANDEIRA DO SUL;310530;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;BARAO DE COCAIS;310540;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;BARAO DO MONTE ALTO;310550;1;2026;RISP 4 - JUIZ DE FORA;NÃO
2;ESTUPRO CONSUMADO;BARBACENA;310560;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;BARRA LONGA;310570;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;BARROSO;310590;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;BELA VISTA DE MINAS;310600;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;BELMIRO BRAGA;310610;1;2026;RISP 4 - JUIZ DE FORA;NÃO
18;ESTUPRO CONSUMADO;BELO HORIZONTE;310620;1;2026;RISP 1 - BH;NÃO
0;ESTUPRO CONSUMADO;BELO ORIENTE;310630;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;BELO VALE;310640;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;BERILO;310650;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;BERIZAL;310665;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;BERTOPOLIS;310660;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
1;ESTUPRO CONSUMADO;BETIM;310670;1;2026;RISP 2 - CONTAGEM;SIM
0;ESTUPRO CONSUMADO;BIAS FORTES;310680;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;BICAS;310690;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;BIQUINHAS;310700;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
0;ESTUPRO CONSUMADO;BOA ESPERANCA;310710;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;BOCAINA DE MINAS;310720;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;BOCAIUVA;310730;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;BOM DESPACHO;310740;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
0;ESTUPRO CONSUMADO;BOM JARDIM DE MINAS;310750;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;BOM JESUS DA PENHA;310760;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;BOM JESUS DO AMPARO;310770;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;BOM JESUS DO GALHO;310780;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;BOM REPOUSO;310790;1;2026;RISP 17 - POUSO ALEGRE;NÃO
